order_id,timestamp,side,type,price,quantity
1,51.003,SELL,LIMIT,100.0,11
2,52.618,BUY,LIMIT,99.94,12
3,113.038,BUY,LIMIT,99.96,5
4,129.316,SELL,MARKET,,8
5,150.392,BUY,LIMIT,99.93,22
6,190.544,SELL,LIMIT,100.03,5
7,207.626,BUY,LIMIT,99.95,7
8,216.502,BUY,LIMIT,99.92,12
9,266.892,BUY,LIMIT,99.95,12
10,359.42,BUY,LIMIT,99.97,8
11,371.268,SELL,LIMIT,100.01,30
12,378.977,BUY,LIMIT,99.93,16
13,422.774,BUY,LIMIT,99.96,10
14,521.475,BUY,LIMIT,99.93,5
15,799.089,SELL,LIMIT,100.04,15
16,814.608,SELL,MARKET,,9
17,968.364,SELL,LIMIT,100.04,10
18,1017.445,BUY,LIMIT,99.93,12
19,1055.234,SELL,LIMIT,99.99,15
20,1069.013,BUY,MARKET,,10
21,1140.495,BUY,MARKET,,9
22,1155.893,SELL,LIMIT,100.11,23
23,1218.297,SELL,LIMIT,100.03,6
24,1238.928,BUY,LIMIT,99.99,13
25,1242.417,SELL,MARKET,,4
26,1254.472,SELL,LIMIT,100.01,9
27,1308.263,SELL,LIMIT,100.06,12
28,1373.4,BUY,LIMIT,99.98,9
29,1389.725,BUY,LIMIT,99.9,11
30,1751.709,BUY,LIMIT,99.88,15
31,1784.951,SELL,LIMIT,99.99,4
32,1915.487,SELL,LIMIT,100.04,30
33,1969.703,BUY,LIMIT,99.98,5
34,1972.275,BUY,MARKET,,11
35,1975.825,BUY,LIMIT,99.86,12
36,1977.852,SELL,LIMIT,100.01,8
37,2033.244,BUY,LIMIT,99.96,13
38,2165.511,BUY,LIMIT,99.7,7
39,2300.858,BUY,LIMIT,99.94,32
40,2348.154,BUY,LIMIT,99.92,17
41,2458.387,BUY,LIMIT,99.93,13
42,2508.676,SELL,LIMIT,100.07,8
43,2703.774,SELL,LIMIT,99.99,13
44,2747.449,SELL,MARKET,,17
45,2761.802,SELL,LIMIT,100.03,8
46,2770.196,BUY,LIMIT,99.86,14
47,2903.745,BUY,LIMIT,99.87,16
48,2988.546,SELL,LIMIT,100.01,6
49,3088.431,SELL,LIMIT,99.98,33
50,3108.541,BUY,LIMIT,99.92,5
51,3137.211,BUY,LIMIT,99.9,4
52,3137.295,BUY,LIMIT,99.94,13
53,3156.133,BUY,LIMIT,99.94,7
54,3181.875,BUY,LIMIT,99.91,6
55,3191.434,SELL,LIMIT,100.04,8
56,3268.467,SELL,LIMIT,99.99,6
57,3384.19,BUY,LIMIT,99.95,16
58,3389.092,BUY,LIMIT,99.96,6
59,3483.861,SELL,LIMIT,100.01,4
60,3517.959,BUY,LIMIT,99.95,31
61,3523.594,BUY,LIMIT,99.83,10
62,3537.925,BUY,LIMIT,99.9,71
63,3648.941,SELL,LIMIT,100.01,10
64,3663.142,SELL,LIMIT,100.01,12
65,3667.174,BUY,LIMIT,99.96,10
66,3680.324,BUY,LIMIT,99.98,8
67,3707.198,SELL,LIMIT,100.04,25
68,3739.604,SELL,LIMIT,100.06,22
69,3808.425,BUY,LIMIT,99.96,10
70,3863.687,SELL,LIMIT,100.07,15
71,3908.499,BUY,MARKET,,6
72,3918.527,SELL,LIMIT,100.03,2
73,3934.831,SELL,LIMIT,100.02,20
74,3987.574,BUY,LIMIT,100.01,3
75,4029.076,SELL,LIMIT,100.07,4
76,4097.977,BUY,LIMIT,99.99,5
77,4154.536,SELL,LIMIT,100.01,17
78,4168.446,SELL,LIMIT,100.05,16
79,4196.41,BUY,LIMIT,99.99,23
80,4257.842,BUY,LIMIT,99.87,3
81,4296.47,SELL,LIMIT,100.07,2
82,4385.283,SELL,LIMIT,100.02,9
83,4409.103,SELL,LIMIT,100.0,2
84,4429.905,SELL,LIMIT,100.02,7
85,4455.985,BUY,LIMIT,99.94,10
86,4460.868,SELL,LIMIT,100.0,12
87,4498.718,SELL,LIMIT,100.01,8
88,4562.596,BUY,LIMIT,99.85,13
89,4629.682,SELL,LIMIT,100.06,7
90,4647.678,BUY,LIMIT,99.84,12
91,4654.428,SELL,MARKET,,10
92,4822.764,SELL,MARKET,,4
93,4865.786,BUY,LIMIT,99.94,6
94,4892.693,BUY,LIMIT,99.99,18
95,4937.094,SELL,LIMIT,100.02,21
96,4952.464,BUY,LIMIT,99.96,5
97,5010.922,SELL,MARKET,,7
98,5109.087,BUY,LIMIT,99.92,15
99,5244.741,BUY,LIMIT,99.94,5
100,5286.848,SELL,MARKET,,19
101,5429.8,SELL,LIMIT,100.03,11
102,5442.798,BUY,LIMIT,99.95,16
103,5495.505,BUY,LIMIT,99.97,9
104,5514.866,BUY,LIMIT,99.94,20
105,5545.199,SELL,LIMIT,100.14,8
106,5766.841,SELL,LIMIT,100.01,6
107,5815.937,BUY,LIMIT,99.97,22
108,5875.844,BUY,LIMIT,99.96,7
109,5915.863,SELL,MARKET,,10
110,6005.095,SELL,LIMIT,100.02,6
111,6029.287,BUY,LIMIT,99.98,17
112,6165.381,SELL,LIMIT,100.02,6
113,6506.109,BUY,LIMIT,99.97,5
114,6529.786,BUY,LIMIT,99.98,4
115,6556.234,SELL,LIMIT,100.07,7
116,6642.182,SELL,LIMIT,100.0,20
117,6647.47,SELL,MARKET,,15
118,6696.28,BUY,LIMIT,99.92,18
119,6715.318,SELL,LIMIT,100.02,16
120,6720.5,BUY,LIMIT,99.97,15
121,6743.987,BUY,LIMIT,99.97,14
122,6748.1,SELL,LIMIT,100.04,9
123,6762.841,SELL,LIMIT,100.06,5
124,6784.04,SELL,LIMIT,100.04,6
125,6817.046,SELL,LIMIT,100.04,6
126,6874.932,BUY,LIMIT,99.95,14
127,6955.889,BUY,LIMIT,99.95,19
128,7047.001,BUY,LIMIT,99.96,7
129,7090.326,BUY,MARKET,,4
130,7099.983,SELL,LIMIT,100.11,16
131,7187.043,SELL,LIMIT,100.03,38
132,7382.5,SELL,MARKET,,9
133,7389.096,SELL,LIMIT,100.09,25
134,7512.502,BUY,LIMIT,99.98,18
135,7518.705,BUY,LIMIT,99.97,5
136,7574.212,SELL,LIMIT,100.07,31
137,7663.908,SELL,LIMIT,100.03,13
138,7693.32,SELL,MARKET,,15
139,7883.799,BUY,LIMIT,99.99,9
140,7935.119,BUY,MARKET,,14
141,8023.663,BUY,LIMIT,99.93,3
142,8101.374,BUY,LIMIT,99.83,14
143,8202.037,BUY,LIMIT,99.92,11
144,8217.456,SELL,LIMIT,100.04,9
145,8253.455,SELL,LIMIT,100.09,22
146,8284.083,BUY,LIMIT,99.88,9
147,8346.393,BUY,LIMIT,99.94,7
148,8395.343,SELL,LIMIT,100.0,7
149,8423.467,BUY,LIMIT,99.92,27
150,8435.572,BUY,LIMIT,99.89,7
151,8454.31,SELL,LIMIT,99.98,21
152,8498.461,SELL,LIMIT,100.0,4
153,8501.102,SELL,LIMIT,100.01,4
154,8513.797,SELL,LIMIT,99.98,19
155,8596.108,BUY,LIMIT,99.92,12
156,8612.068,SELL,LIMIT,100.0,7
157,8665.62,BUY,LIMIT,99.82,4
158,8689.215,SELL,LIMIT,99.99,23
159,8697.671,BUY,LIMIT,99.96,14
160,8726.845,BUY,LIMIT,99.97,9
161,8783.58,SELL,MARKET,,8
162,8783.966,BUY,LIMIT,99.92,8
163,8818.363,BUY,MARKET,,10
164,8859.267,SELL,MARKET,,24
165,8901.862,SELL,LIMIT,100.03,23
166,8960.359,BUY,LIMIT,99.99,9
167,8964.454,SELL,LIMIT,100.03,14
168,9014.604,BUY,LIMIT,99.99,36
169,9098.984,BUY,MARKET,,5
170,9170.385,BUY,LIMIT,99.95,10
171,9241.715,SELL,LIMIT,100.05,9
172,9257.772,SELL,LIMIT,100.02,9
173,9346.871,BUY,LIMIT,99.96,9
174,9425.338,SELL,LIMIT,100.02,4
175,9460.133,SELL,MARKET,,19
176,9522.776,BUY,MARKET,,11
177,9545.396,SELL,LIMIT,99.99,16
178,9597.504,SELL,MARKET,,13
179,9661.823,BUY,LIMIT,99.93,6
180,9833.452,SELL,MARKET,,13
181,9874.379,SELL,LIMIT,100.04,36
182,9932.204,BUY,LIMIT,99.96,8
183,9942.142,SELL,LIMIT,100.01,7
184,9946.158,BUY,LIMIT,99.95,17
185,10000.383,BUY,LIMIT,99.99,3
186,10049.389,SELL,MARKET,,6
187,10224.036,SELL,LIMIT,100.06,7
188,10392.516,SELL,LIMIT,100.01,15
189,10421.561,SELL,LIMIT,100.04,9
190,10432.699,BUY,LIMIT,100.0,10
191,10568.827,BUY,LIMIT,99.96,5
192,10715.149,SELL,LIMIT,100.12,9
193,10738.567,BUY,LIMIT,100.0,21
194,10745.968,SELL,LIMIT,100.02,15
195,10746.232,BUY,LIMIT,99.92,12
196,10783.746,SELL,LIMIT,100.0,5
197,10832.497,BUY,LIMIT,99.95,11
198,10875.286,BUY,LIMIT,99.98,7
199,10885.656,BUY,LIMIT,99.98,28
200,10962.842,BUY,LIMIT,99.97,16
201,11028.856,BUY,LIMIT,99.95,8
202,11068.34,BUY,LIMIT,99.97,26
203,11078.402,BUY,LIMIT,99.89,8
204,11103.795,SELL,LIMIT,100.08,6
205,11179.693,SELL,LIMIT,100.1,9
206,11208.661,SELL,LIMIT,100.06,10
207,11245.284,BUY,LIMIT,100.03,18
208,11284.709,BUY,MARKET,,13
209,11330.852,BUY,LIMIT,100.02,12
210,11411.599,BUY,LIMIT,100.04,17
211,11413.37,BUY,LIMIT,100.02,8
212,11459.825,SELL,LIMIT,100.07,19
213,11497.519,SELL,LIMIT,100.07,10
214,11538.758,SELL,LIMIT,100.06,15
215,11868.364,BUY,MARKET,,16
216,11885.514,BUY,LIMIT,99.93,20
217,11921.054,BUY,LIMIT,100.01,10
218,11963.518,BUY,LIMIT,100.02,16
219,12036.821,BUY,MARKET,,8
220,12068.173,SELL,MARKET,,21
221,12112.484,BUY,LIMIT,99.95,7
222,12131.963,BUY,LIMIT,99.94,5
223,12171.982,SELL,LIMIT,100.06,14
224,12215.434,SELL,LIMIT,100.08,13
225,12288.261,BUY,LIMIT,100.0,9
226,12346.019,SELL,MARKET,,4
227,12379.125,SELL,LIMIT,100.05,23
228,12477.709,BUY,LIMIT,100.0,6
229,12484.245,BUY,MARKET,,19
230,12648.664,SELL,LIMIT,100.08,7
231,12924.356,SELL,LIMIT,100.05,5
232,12954.909,BUY,LIMIT,100.0,6
233,13047.437,SELL,LIMIT,100.03,7
234,13073.25,SELL,MARKET,,11
235,13090.276,SELL,LIMIT,100.03,6
236,13110.983,BUY,LIMIT,99.98,10
237,13118.352,SELL,LIMIT,100.02,19
238,13143.31,SELL,LIMIT,100.04,10
239,13184.692,BUY,LIMIT,99.96,30
